p2q,latency_s,U_single,U_cut,U_teleport,best_mode
0.008363636363636365,8.376776400682924e-06,0.09244712093623017,-0.02406584172973847,-0.04999120315693259,single
0.008363636363636365,1.4251026703029993e-05,0.09244712093623017,-0.01872773803431574,0.0024009395654008836,single
0.008363636363636365,2.424462017082331e-05,0.027570501312607604,-0.02406584172973847,-0.07518381526965916,single
0.008363636363636365,4.124626382901348e-05,-0.12104077922100204,-0.02406584172973847,-0.10554022834671417,cut
0.008363636363636365,7.017038286703837e-05,0.027570501312607743,0.37394765628261795,-0.04486968742209847,cut
0.008363636363636365,0.00011937766417144369,-0.0057577046401836585,-0.02406584172973847,-0.13234307624817546,single
0.008363636363636365,0.00020309176209047368,-0.11842372893011813,-0.21735553160998256,-0.14394807155608186,single
0.008363636363636365,0.0003455107294592222,0.027570501312607743,-0.013563778896347994,-0.14811941936320225,single
0.008363636363636365,0.0005878016072274912,-0.049994570222698584,-0.17768591822019386,-0.14970437887679927,single
0.008363636363636365,0.001,-0.0057577046401836585,-0.07916553133944981,-0.15103234490915554,single
0.009454545454545455,1e-06,0.09244712093623017,-0.013563778896347994,-0.07755679919038494,single
0.009454545454545455,1.7012542798525892e-06,0.09244712093623017,0.025341647919843086,-0.10736609393371596,single
0.009454545454545455,2.894266124716752e-06,0.027570501312607743,-0.02406584172973847,-0.09071173003006439,single
0.009454545454545455,4.923882631706742e-06,0.027570501312607743,-0.13943083443115717,-0.13158272950579314,single
0.009454545454545455,8.376776400682924e-06,0.04860016170306691,0.1763167284133145,-0.094525810906473,cut
0.009454545454545455,1.4251026703029993e-05,-0.12104077922100202,-0.11761486179467874,-0.03232512827126734,teleport
0.009454545454545455,2.424462017082331e-05,0.09244712093623017,-0.013563778896347994,-0.06768275417528627,single
0.009454545454545455,4.124626382901348e-05,-0.049994570222698584,-0.019565025151444426,-0.08313073904526953,cut
0.009454545454545455,7.017038286703837e-05,-0.0057577046401836585,-0.02406584172973847,-0.1373908368361416,single
0.009454545454545455,0.00011937766417144369,0.027570501312607743,-0.02406584172973847,-0.13027596890018817,single
0.009454545454545455,0.00020309176209047368,-0.049994570222698584,-0.11761486179467874,-0.14004279309675624,single
0.009454545454545455,0.0003455107294592222,0.04860016170306697,-0.02406584172973847,-0.14827278862689763,single
0.009454545454545455,0.0005878016072274912,0.048600161703067024,-0.07916553133944981,-0.1497505332265309,single
0.009454545454545455,0.001,0.027570501312607743,-0.02406584172973847,-0.15103299924559588,single
0.010545454545454545,1e-06,0.04860016170306705,-0.07916553133944981,-0.08088815067611614,single
0.010545454545454545,1.7012542798525892e-06,-0.049994570222698584,-0.04457177106331239,-0.05137907557732033,cut
0.010545454545454545,2.894266124716752e-06,-0.0057577046401836585,-0.13744080391073604,-0.09071173003006439,single
0.010545454545454545,4.923882631706742e-06,0.09244712093623017,-0.02406584172973847,-0.11595714240850444,single
0.010545454545454545,8.376776400682924e-06,-0.05762420093790259,-0.2145492060003312,-0.04999120315693259,teleport
0.010545454545454545,1.4251026703029993e-05,0.09244712093623017,-0.17826680878348372,-0.09833321596152764,single
0.010545454545454545,2.424462017082331e-05,0.027570501312607687,0.09040033628661834,-0.07721844947963058,cut
0.010545454545454545,4.124626382901348e-05,-0.0057577046401836585,-0.02406584172973847,-0.08313073904526953,single
0.010545454545454545,7.017038286703837e-05,-0.005757704640183686,0.03484419586926171,-0.13992347411766817,cut
0.010545454545454545,0.00011937766417144369,0.09244712093623017,-0.02406584172973847,-0.1309036890630968,single
0.010545454545454545,0.00020309176209047368,0.09244712093623028,-0.045445781989465805,-0.14394807155608186,single
0.010545454545454545,0.0003455107294592222,-0.05762420093790259,0.08290433490651458,-0.147754989351605,cut
0.010545454545454545,0.0005878016072274912,-0.005757704640183742,-0.02406584172973847,-0.1497582144121988,single
0.010545454545454545,0.001,-0.12104077922100204,-0.02406584172973847,-0.15103269419438653,cut
0.011636363636363636,1e-06,-0.049994570222698584,-0.02406584172973847,0.02078327441000452,teleport
0.011636363636363636,1.7012542798525892e-06,0.04860016170306697,-0.18153349806629243,-0.04143631715163347,single
0.011636363636363636,2.894266124716752e-06,0.04860016170306697,-0.013563778896347994,-0.07921148157291144,single
0.011636363636363636,4.923882631706742e-06,-0.0057577046401836585,0.03930152725366562,-0.09215426748859946,cut
0.011636363636363636,8.376776400682924e-06,0.04860016170306697,0.037932416425655674,-0.007231946924264626,single
0.011636363636363636,1.4251026703029993e-05,0.09244712093623023,-0.1729919753852438,-0.056951398642867065,single
0.011636363636363636,2.424462017082331e-05,-0.005757704640183742,-0.02406584172973847,-0.10420481883445946,single
0.011636363636363636,4.124626382901348e-05,0.09244712093623017,-0.02406584172973847,-0.11266066207245828,single
0.011636363636363636,7.017038286703837e-05,-0.05762420093790259,-0.02406584172973847,-0.11855706059707209,cut
0.011636363636363636,0.00011937766417144369,0.027570501312607743,0.07018788478426632,-0.124695722130232,cut
0.011636363636363636,0.00020309176209047368,0.04860016170306691,0.0007044923981078255,-0.14394807155608186,single
0.011636363636363636,0.0003455107294592222,0.04860016170306697,0.026206489627734947,-0.147754989351605,single
0.011636363636363636,0.0005878016072274912,-0.05762420093790255,-0.013563778896347994,-0.14960197434359387,cut
0.011636363636363636,0.001,-0.12104077922100204,-0.19584109553015408,-0.15103216348852008,single
0.012727272727272728,1e-06,0.09244712093623017,-0.02406584172973847,-0.08933256459265254,single
0.012727272727272728,1.7012542798525892e-06,-0.04999457022269854,-0.060152551460188664,-0.06824482934070243,single
0.012727272727272728,2.894266124716752e-06,0.02757050131260766,-0.02406584172973847,0.22947393238173958,teleport
0.012727272727272728,4.923882631706742e-06,-0.049994570222698584,-0.11761486179467874,-0.055205498594161254,single
0.012727272727272728,8.376776400682924e-06,0.027570501312607687,-0.013563778896347994,-0.04999120315693259,single
0.012727272727272728,1.4251026703029993e-05,-0.05762420093790259,-0.07916553133944981,-0.08305436303594688,single
0.012727272727272728,2.424462017082331e-05,-0.05762420093790259,-0.2208937136440128,-0.12108868732913636,single
0.012727272727272728,4.124626382901348e-05,-0.0057577046401836585,-0.07729585643192186,-0.08919572356370192,single
0.012727272727272728,7.017038286703837e-05,0.04860016170306697,-0.02406584172973847,-0.13018927468410277,single
0.012727272727272728,0.00011937766417144369,-0.05762420093790259,0.03949225058352043,-0.12390432367173883,cut
0.012727272727272728,0.00020309176209047368,0.04860016170306697,-0.02406584172973847,-0.14084487623710745,single
0.012727272727272728,0.0003455107294592222,0.09244712093623023,-0.02406584172973847,-0.148278182187754,single
0.012727272727272728,0.0005878016072274912,0.09244712093623023,-0.013563778896347994,-0.14963435116927615,single
0.012727272727272728,0.001,0.04860016170306697,-0.01077172316571226,-0.15103269419438653,single
0.013818181818181818,1e-06,-0.05762420093790259,-0.03897880874068879,0.04832124854834488,teleport
0.013818181818181818,1.7012542798525892e-06,-0.005757704640183742,-0.02406584172973847,-0.11380445547578899,single
0.013818181818181818,2.894266124716752e-06,-0.11842372893011813,-0.02406584172973847,-0.06046056785448231,cut
0.013818181818181818,4.923882631706742e-06,-0.05762420093790259,-0.02406584172973847,-0.030205546920004323,cut
0.013818181818181818,8.376776400682924e-06,0.02757050131260766,-0.11145171287560932,-0.094525810906473,single
0.013818181818181818,1.4251026703029993e-05,-0.049994570222698584,0.034828767410226974,-0.12924718967899376,cut
0.013818181818181818,2.424462017082331e-05,-0.005757704640183742,-0.02406584172973847,-0.10420481883445946,single
0.013818181818181818,4.124626382901348e-05,0.027570501312607743,-0.013563778896347994,-0.08313073904526953,single
0.013818181818181818,7.017038286703837e-05,0.09244712093623034,-0.013563778896347994,-0.11855706059707209,single
0.013818181818181818,0.00011937766417144369,-0.0057577046401836585,-0.1243487069406707,-0.1458580051603177,single
0.013818181818181818,0.00020309176209047368,0.04860016170306697,-0.16847147594412237,-0.14426554644194045,single
0.013818181818181818,0.0003455107294592222,0.09244712093623017,-0.0731972033710371,-0.14691513398020323,single
0.013818181818181818,0.0005878016072274912,0.027570501312607798,-0.023185612829500185,-0.14973290155116895,single
0.013818181818181818,0.001,0.04860016170306691,0.08503626920914623,-0.15103298549599334,cut
0.01490909090909091,1e-06,-0.005757704640183742,-0.013563778896347994,-0.04746060489633329,single
0.01490909090909091,1.7012542798525892e-06,-0.0057577046401836585,-0.07916553133944981,-0.07817377919957759,single
0.01490909090909091,2.894266124716752e-06,0.09244712093623017,-0.20960515115319658,-0.09071173003006439,single
0.01490909090909091,4.923882631706742e-06,-0.12104077922100204,-0.11467547698208613,-0.1016012941367967,teleport
0.01490909090909091,8.376776400682924e-06,-0.05762420093790259,-0.10078504691413723,-0.11918141078954379,single
0.01490909090909091,1.4251026703029993e-05,-0.12104077922100204,-0.013563778896347994,-0.06545057695603745,cut
0.01490909090909091,2.424462017082331e-05,-0.049994570222698584,-0.14786658833539865,-0.06768275417528627,single
0.01490909090909091,4.124626382901348e-05,-0.05762420093790262,-0.11761486179467874,-0.0976963517197959,single
0.01490909090909091,7.017038286703837e-05,-0.12104077922100204,-0.14136634179317195,-0.10717154777739658,teleport
0.01490909090909091,0.00011937766417144369,0.027570501312607743,0.04631788167960435,-0.11134020870884927,cut
0.01490909090909091,0.00020309176209047368,0.09244712093623017,-0.09421049285565597,-0.14004279309675624,single
0.01490909090909091,0.0003455107294592222,0.04860016170306697,-0.17286218871414244,-0.14538649181944513,single
